term,tf,idf,tf_idf
bagus,1,2.038895093688637,2.038895093688637
bagus,1,2.038895093688637,2.038895093688637
mudah,1,1.9811216106340133,1.9811216106340133
verivikasi,2,5.777385393183434,11.554770786366868
susah,1,2.5326401883368166,2.5326401883368166
gagal,1,3.8119624299045394,3.8119624299045394
berkalikali,1,6.3114678791136924,6.3114678791136924
cantum,1,7.004615059673638,7.004615059673638
isi,1,4.731882929829273,4.731882929829273
sesuai,1,4.622892646120868,4.622892646120868
telfon,1,7.535243310735808,7.535243310735808
iur,1,5.966627392821963,5.966627392821963
murah,1,8.228390491295754,8.228390491295754
bagus,1,2.038895093688637,2.038895093688637
bagus,1,2.038895093688637,2.038895093688637
bantu,1,1.8754127236087899,1.8754127236087899
permudahtrimakadih,1,9.837828403729853,9.837828403729853
ganggu,1,4.696164847227194,4.696164847227194
bantu,1,1.8754127236087899,1.8754127236087899
mudah,1,1.9811216106340133,1.9811216106340133
layan,1,2.838405936221893,2.838405936221893
sehat,1,3.597552558559084,3.597552558559084
manfaat,1,3.9913896286721293,3.9913896286721293
sehat,1,3.597552558559084,3.597552558559084
cepat,1,3.292478743395434,3.292478743395434
akurat,1,6.3114678791136924,6.3114678791136924
okay,1,8.451534042609962,8.451534042609962
muas,1,4.539511037181817,4.539511037181817
mantap,1,2.6426410835511454,2.6426410835511454
file,1,8.739216115061744,8.739216115061744
bekas,1,8.451534042609962,8.451534042609962
vaksin,1,9.144681223169908,9.144681223169908
pelan,1,8.739216115061744,8.739216115061744
pol,1,5.589333161680495,5.589333161680495
gigi,1,6.174266757600208,6.174266757600208
sulit,1,3.1746957077390507,3.1746957077390507
cepat,1,3.292478743395434,3.292478743395434
direspontrims,1,9.837828403729853,9.837828403729853
lumayan,1,5.455801769055972,5.455801769055972
bantu,1,1.8754127236087899,1.8754127236087899
mudah,1,1.9811216106340133,1.9811216106340133
eror,1,3.273972877197726,3.273972877197726
tampil,1,6.0536387698115925,6.0536387698115925
status,1,6.174266757600208,6.174266757600208
kondisi,1,6.579731865708371,6.579731865708371
sinyal,1,5.050336660947807,5.050336660947807
bagus,1,2.038895093688637,2.038895093688637
moga,1,4.101256106250662,4.101256106250662
simple,1,5.812476712994704,5.812476712994704
mudah,1,1.9811216106340133,1.9811216106340133
perhati,1,6.341320842263373,6.341320842263373
bug,1,5.18386805357233,5.18386805357233
booking,1,6.3114678791136924,6.3114678791136924
bagus,1,2.038895093688637,2.038895093688637
susah,1,2.5326401883368166,2.5326401883368166
kouta,1,7.758386862050018,7.758386862050018
sinyal,1,5.050336660947807,5.050336660947807
kencang,1,6.746785950371538,6.746785950371538
apknya,1,6.3114678791136924,6.3114678791136924
goblok,1,7.640603826393634,7.640603826393634
bagus,1,2.038895093688637,2.038895093688637
bantu,1,1.8754127236087899,1.8754127236087899
bagus,1,2.038895093688637,2.038895093688637
bantu,1,1.8754127236087899,1.8754127236087899
surat,2,5.830495218497383,11.660990436994766
rujuk,2,4.633821716653058,9.267643433306116
kunjung,1,6.372092500930127,6.372092500930127
hilang,1,5.283951512129313,5.283951512129313
doang,1,5.222707886888594,5.222707886888594
manfaat,1,3.9913896286721293,3.9913896286721293
bantu,1,1.8754127236087899,1.8754127236087899
bantu,1,1.8754127236087899,1.8754127236087899
terima,1,4.101256106250662,4.101256106250662
kasih,1,3.776371484801837,3.776371484801837
eror,1,3.273972877197726,3.273972877197726
layak,1,7.891918254674541,7.891918254674541
parah,1,4.7502320684974695,4.7502320684974695
mulu,1,4.0916252131897,4.0916252131897
sulit,1,3.1746957077390507,3.1746957077390507
capat,1,8.451534042609962,8.451534042609962
iur,1,5.966627392821963,5.966627392821963
lupa,1,3.864018791860593,3.864018791860593
reset,1,6.341320842263373,6.341320842263373
kah,1,6.470532573743379,6.470532573743379
bagus,1,2.038895093688637,2.038895093688637
paskes,1,6.470532573743379,6.470532573743379
fakhira,1,9.837828403729853,9.837828403729853
jakarta,1,8.451534042609962,8.451534042609962
pusat,1,7.272879046268317,7.272879046268317
terang,1,5.119329532434759,5.119329532434759
pagi,1,5.906002771005528,5.906002771005528
lukga,1,9.837828403729853,9.837828403729853
screen,1,6.893389424563414,6.893389424563414
wa,1,5.407011604886541,5.407011604886541
bom,1,9.837828403729853,9.837828403729853
hilang,1,5.283951512129313,5.283951512129313
urut,1,7.640603826393634,7.640603826393634
gede,1,7.535243310735808,7.535243310735808
